"","date","Y"
"1",1996-01-01,89.13
"2",1996-04-01,89.52
"3",1996-07-01,89.88
"4",1996-10-01,90.12
"5",1997-01-01,89.19
"6",1997-04-01,89.78
"7",1997-07-01,90.03
"8",1997-10-01,90.38
"9",1998-01-01,90.27
"10",1998-04-01,90.77
"11",1998-07-01,91.85
"12",1998-10-01,92.51
"13",1999-01-01,92.21
"14",1999-04-01,92.52
"15",1999-07-01,93.62
"16",1999-10-01,94.15
"17",2000-01-01,94.69
"18",2000-04-01,95.34
"19",2000-07-01,96.04
"20",2000-10-01,96.3
"21",2001-01-01,94.83
"22",2001-04-01,95.14
"23",2001-07-01,95.86
"24",2001-10-01,95.83
"25",2002-01-01,95.73
"26",2002-04-01,96.36
"27",2002-07-01,96.89
"28",2002-10-01,97.01
"29",2003-01-01,96.66
"30",2003-04-01,97.76
"31",2003-07-01,97.83
"32",2003-10-01,97.76
"33",2004-01-01,98.17
"34",2004-04-01,98.55
"35",2004-07-01,99.31
"36",2004-10-01,99.44
"37",2005-01-01,99.43
"38",2005-04-01,99.84
"39",2005-07-01,100.32
"40",2005-10-01,100.4
"41",2006-01-01,99.88
"42",2006-04-01,100.19
"43",2006-07-01,100.75
"44",2006-10-01,101.01
"45",2007-01-01,100.84
"46",2007-04-01,101.34
"47",2007-07-01,101.94
"48",2007-10-01,102.1
"49",2008-01-01,101.56
"50",2008-04-01,101.48
"51",2008-07-01,101.13
"52",2008-10-01,100.34
"53",2009-01-01,98.93
"54",2009-04-01,98.31
"55",2009-07-01,97.67
"56",2009-10-01,97.44
"57",2010-01-01,96.53
"58",2010-04-01,96.56
"59",2010-07-01,96.51
"60",2010-10-01,96.7
"61",2011-01-01,95.88
"62",2011-04-01,95.84
"63",2011-07-01,95.79
"64",2011-10-01,95.94
